name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,17.0,17.0,1.04,3.0,2.0,2.0,1.0,2024-12-27,2024-12-27,Link clicks,0.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,19.0,19.0,1.15,4.0,2.0,2.0,2.0,2024-12-27,2024-12-27,Link clicks,0.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,1165.0,2274.0,269.93,570.0,391.0,292.0,206.0,2024-12-27,2024-12-28,Link clicks,25.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,1098.0,2352.0,268.05,441.0,257.0,180.0,147.0,2024-12-27,2024-12-28,Link clicks,16.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,1888.0,4330.0,555.3,1041.0,707.0,531.0,403.0,2024-12-27,2024-12-29,Link clicks,50.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,1708.0,4229.0,531.7,738.0,448.0,306.0,248.0,2024-12-27,2024-12-29,Link clicks,34.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,2359.0,5798.0,758.99,1355.0,913.0,666.0,504.0,2024-12-27,2024-12-30,Link clicks,64.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,2170.0,5675.0,745.93,964.0,587.0,408.0,325.0,2024-12-27,2024-12-30,Link clicks,43.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,2170.0,5675.0,745.93,964.0,587.0,408.0,325.0,2024-12-27,2024-12-31,Link clicks,43.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,2359.0,5798.0,758.99,1355.0,913.0,666.0,504.0,2024-12-27,2024-12-31,Link clicks,64.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,2359.0,5798.0,758.99,1355.0,913.0,666.0,504.0,2024-12-27,2025-01-01,Link clicks,64.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,2170.0,5675.0,745.93,964.0,587.0,408.0,325.0,2024-12-27,2025-01-01,Link clicks,43.0
adult_ski_beginner__traffic__120215321990480063__pl,to_date_ad,1844.0,2518.0,218.53,543.0,283.0,187.0,130.0,2024-12-27,2025-01-02,Link clicks,12.0
adult_ski_beginner__traffic__120215321990480063__de,to_date_ad,1520.0,1964.0,218.75,481.0,245.0,168.0,118.0,2024-12-27,2025-01-02,Link clicks,12.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,2856.0,6393.0,796.69,1484.0,988.0,716.0,544.0,2024-12-27,2025-01-02,Link clicks,66.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,2674.0,6270.0,781.61,1080.0,646.0,453.0,357.0,2024-12-27,2025-01-02,Link clicks,47.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,4180.0,8303.0,900.11,1470.0,840.0,570.0,439.0,2024-12-27,2025-01-03,Link clicks,61.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,4452.0,8647.0,920.6,1957.0,1244.0,891.0,662.0,2024-12-27,2025-01-03,Link clicks,85.0
adult_ski_beginner__traffic__120215321990480063__pl,to_date_ad,3913.0,5682.0,417.56,1196.0,627.0,413.0,287.0,2024-12-27,2025-01-03,Link clicks,43.0
adult_ski_beginner__traffic__120215321990480063__de,to_date_ad,3480.0,5143.0,416.45,1106.0,572.0,401.0,297.0,2024-12-27,2025-01-03,Link clicks,31.0
adult_ski_beginner__traffic__120215321990480063__pl,to_date_ad,5189.0,8023.0,597.45,1651.0,875.0,572.0,397.0,2024-12-27,2025-01-04,Link clicks,56.0
adult_ski_beginner__traffic__120215321990480063__de,to_date_ad,4639.0,7393.0,593.81,1504.0,793.0,549.0,416.0,2024-12-27,2025-01-04,Link clicks,44.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,5139.0,9736.0,1001.28,2154.0,1345.0,957.0,709.0,2024-12-27,2025-01-04,Link clicks,91.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,4984.0,9500.0,993.78,1669.0,944.0,638.0,493.0,2024-12-27,2025-01-04,Link clicks,70.0
adult_ski_beginner__traffic__120215321990480063__pl,to_date_ad,5503.0,8775.0,678.88,1782.0,957.0,634.0,442.0,2024-12-27,2025-01-05,Link clicks,59.0
adult_ski_beginner__traffic__120215321990480063__de,to_date_ad,4996.0,8290.0,687.07,1632.0,859.0,599.0,461.0,2024-12-27,2025-01-05,Link clicks,49.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,5498.0,10499.0,1085.1,2301.0,1420.0,1010.0,747.0,2024-12-27,2025-01-05,Link clicks,94.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,5378.0,10110.0,1067.62,1773.0,1017.0,689.0,532.0,2024-12-27,2025-01-05,Link clicks,73.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,5378.0,10110.0,1067.62,1773.0,1017.0,689.0,532.0,2024-12-27,2025-01-06,Link clicks,73.0
adult_ski_beginner__traffic__120215321990480063__pl,to_date_ad,5503.0,8775.0,678.88,1782.0,957.0,634.0,442.0,2024-12-27,2025-01-06,Link clicks,59.0
adult_ski_beginner__traffic__120215321990480063__de,to_date_ad,4996.0,8290.0,687.07,1632.0,859.0,599.0,461.0,2024-12-27,2025-01-06,Link clicks,49.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,5498.0,10499.0,1085.1,2301.0,1420.0,1010.0,747.0,2024-12-27,2025-01-06,Link clicks,94.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,5378.0,10110.0,1067.62,1773.0,1017.0,689.0,532.0,2024-12-27,2025-01-07,Link clicks,73.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,5498.0,10499.0,1085.1,2301.0,1420.0,1010.0,747.0,2024-12-27,2025-01-07,Link clicks,94.0
adult_ski_beginner__traffic__120215321990480063__pl,to_date_ad,5503.0,8775.0,678.88,1782.0,957.0,634.0,442.0,2024-12-27,2025-01-07,Link clicks,59.0
adult_ski_beginner__traffic__120215321990480063__de,to_date_ad,4996.0,8290.0,687.07,1632.0,859.0,599.0,461.0,2024-12-27,2025-01-07,Link clicks,49.0
adult_ski_beginner__traffic__120215321990480063__pl,to_date_ad,5503.0,8775.0,678.88,1782.0,957.0,634.0,442.0,2024-12-27,2025-01-08,Link clicks,59.0
adult_ski_beginner__traffic__120215321990480063__de,to_date_ad,4996.0,8290.0,687.07,1632.0,859.0,599.0,461.0,2024-12-27,2025-01-08,Link clicks,49.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,5498.0,10499.0,1085.1,2301.0,1420.0,1010.0,747.0,2024-12-27,2025-01-08,Link clicks,94.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,5378.0,10110.0,1067.62,1773.0,1017.0,689.0,532.0,2024-12-27,2025-01-08,Link clicks,73.0
adult_ski_beginner__traffic__120215321990480063__pl,to_date_ad,5503.0,8775.0,678.88,1782.0,957.0,634.0,442.0,2024-12-27,2025-01-09,Link clicks,59.0
adult_ski_beginner__traffic__120215321990480063__de,to_date_ad,4996.0,8290.0,687.07,1632.0,859.0,599.0,461.0,2024-12-27,2025-01-09,Link clicks,49.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,5498.0,10499.0,1085.1,2301.0,1420.0,1010.0,747.0,2024-12-27,2025-01-09,Link clicks,94.0
adult_ski_beginner__traffic__120215321990480063__en,to_date_ad,5378.0,10110.0,1067.62,1773.0,1017.0,689.0,532.0,2024-12-27,2025-01-09,Link clicks,73.0
adult_ski_beginner__traffic__120215321990480063__pl,to_date_ad,5881.0,9399.0,847.38,1816.0,973.0,646.0,452.0,2024-12-27,2025-01-10,Link clicks,64.0
adult_ski_beginner__traffic__120215321990480063__de,to_date_ad,5455.0,8915.0,852.08,1676.0,889.0,620.0,480.0,2024-12-27,2025-01-10,Link clicks,52.0
adult_ski_beginner__traffic__120215321990480063__cs,to_date_ad,5958.0,11304.0,1237.88,2361.0,1458.0,1038.0,768.0,2024-12-27,2025-01-10,Link clicks,99.0
