name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
adult_ski_beginner__traffic__120215321990480063,day_campaign,36.0,36.0,2.19,7.0,4.0,4.0,3.0,2024-12-27,2024-12-27,Link clicks,0
adult_ski_beginner__traffic__120215321990480063,day_campaign,2026.0,4590.0,535.79,1004.0,644.0,468.0,350.0,2024-12-28,2024-12-28,Link clicks,41
adult_ski_beginner__traffic__120215321990480063,day_campaign,1982.0,3933.0,549.02,768.0,507.0,365.0,298.0,2024-12-29,2024-12-29,Link clicks,43
adult_ski_beginner__traffic__120215321990480063,day_campaign,1708.0,2914.0,417.92,540.0,345.0,237.0,178.0,2024-12-30,2024-12-30,Link clicks,23
adult_ski_beginner__traffic__120215321990480063,day_campaign,3646.0,5672.0,510.66,1269.0,662.0,450.0,320.0,2025-01-02,2025-01-02,Link clicks,30
adult_ski_beginner__traffic__120215321990480063,day_campaign,6302.0,10630.0,639.14,2141.0,1121.0,751.0,536.0,2025-01-03,2025-01-03,Link clicks,83
adult_ski_beginner__traffic__120215321990480063,day_campaign,4156.0,6877.0,531.6,1249.0,674.0,441.0,330.0,2025-01-04,2025-01-04,Link clicks,41
adult_ski_beginner__traffic__120215321990480063,day_campaign,1460.0,3022.0,332.35,510.0,296.0,216.0,167.0,2025-01-05,2025-01-05,Link clicks,14
adult_ski_beginner__traffic__120215321990480063,day_campaign,1129.0,2653.0,639.1,181.0,112.0,84.0,70.0,2025-01-10,2025-01-10,Link clicks,16
adult_ski_beginner__traffic__120215321990480063,day_campaign,1313.0,2824.0,653.96,523.0,324.0,220.0,162.0,2025-01-11,2025-01-11,Link clicks,17
adult_ski_beginner__traffic__120215321990480063,day_campaign,969.0,2018.0,410.52,368.0,218.0,147.0,108.0,2025-01-12,2025-01-12,Link clicks,8
adult_ski_beginner__traffic__120215321990480063,day_campaign,1057.0,2400.0,619.99,393.0,204.0,141.0,112.0,2025-01-17,2025-01-17,Link clicks,14
adult_ski_beginner__traffic__120215321990480063,day_campaign,1190.0,2361.0,661.05,457.0,267.0,201.0,150.0,2025-01-18,2025-01-18,Link clicks,9
adult_ski_beginner__traffic__120215321990480063,day_campaign,1063.0,2203.0,491.53,435.0,275.0,203.0,164.0,2025-01-19,2025-01-19,Link clicks,12
adult_ski_beginner__traffic__120215321990480063,day_campaign,1684.0,3793.0,851.35,545.0,299.0,205.0,155.0,2025-01-24,2025-01-24,Link clicks,16
adult_ski_beginner__traffic__120215321990480063,day_campaign,1406.0,2984.0,742.72,478.0,281.0,197.0,142.0,2025-01-25,2025-01-25,Link clicks,15
adult_ski_beginner__traffic__120215321990480063,day_campaign,893.0,1894.0,484.76,345.0,211.0,160.0,129.0,2025-01-31,2025-01-31,Link clicks,5
adult_ski_beginner__traffic__120215321990480063,day_campaign,824.0,1631.0,422.81,236.0,134.0,102.0,86.0,2025-02-01,2025-02-01,Link clicks,10
adult_ski_beginner__traffic__120215321990480063,day_campaign,568.0,1105.0,217.97,201.0,136.0,103.0,85.0,2025-02-02,2025-02-02,Link clicks,6
