name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,36.0,36.0,2.19,7.0,4.0,4.0,3.0,2024-12-27,2024-12-27,Link clicks,0.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,2035.0,4626.0,537.98,1011.0,648.0,472.0,353.0,2024-12-27,2024-12-28,Link clicks,41.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,3140.0,8559.0,1087.0,1779.0,1155.0,837.0,651.0,2024-12-27,2024-12-29,Link clicks,84.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,3909.0,11473.0,1504.92,2319.0,1500.0,1074.0,829.0,2024-12-27,2024-12-30,Link clicks,107.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,3909.0,11473.0,1504.92,2319.0,1500.0,1074.0,829.0,2024-12-27,2024-12-31,Link clicks,107.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,3909.0,11473.0,1504.92,2319.0,1500.0,1074.0,829.0,2024-12-27,2025-01-01,Link clicks,107.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,7337.0,17145.0,2015.58,3588.0,2162.0,1524.0,1149.0,2024-12-27,2025-01-02,Link clicks,137.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,12342.0,27775.0,2654.72,5729.0,3283.0,2275.0,1685.0,2024-12-27,2025-01-03,Link clicks,220.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,14529.0,34652.0,3186.32,6978.0,3957.0,2716.0,2015.0,2024-12-27,2025-01-04,Link clicks,261.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,15073.0,37674.0,3518.67,7488.0,4253.0,2932.0,2182.0,2024-12-27,2025-01-05,Link clicks,275.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,15073.0,37674.0,3518.67,7488.0,4253.0,2932.0,2182.0,2024-12-27,2025-01-06,Link clicks,275.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,15073.0,37674.0,3518.67,7488.0,4253.0,2932.0,2182.0,2024-12-27,2025-01-07,Link clicks,275.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,15073.0,37674.0,3518.67,7488.0,4253.0,2932.0,2182.0,2024-12-27,2025-01-08,Link clicks,275.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,15073.0,37674.0,3518.67,7488.0,4253.0,2932.0,2182.0,2024-12-27,2025-01-09,Link clicks,275.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,15847.0,40327.0,4157.77,7669.0,4365.0,3016.0,2252.0,2024-12-27,2025-01-10,Link clicks,291.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,16718.0,43151.0,4811.73,8192.0,4689.0,3236.0,2414.0,2024-12-27,2025-01-11,Link clicks,308.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,17314.0,45169.0,5222.25,8560.0,4907.0,3383.0,2522.0,2024-12-27,2025-01-12,Link clicks,316.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,17314.0,45169.0,5222.25,8560.0,4907.0,3383.0,2522.0,2024-12-27,2025-01-13,Link clicks,316.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,17314.0,45169.0,5222.25,8560.0,4907.0,3383.0,2522.0,2024-12-27,2025-01-14,Link clicks,316.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,17314.0,45169.0,5222.25,8560.0,4907.0,3383.0,2522.0,2024-12-27,2025-01-15,Link clicks,316.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,17314.0,45169.0,5222.25,8560.0,4907.0,3383.0,2522.0,2024-12-27,2025-01-16,Link clicks,316.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,18125.0,47569.0,5842.24,8953.0,5111.0,3524.0,2634.0,2024-12-27,2025-01-17,Link clicks,330.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,18948.0,49930.0,6503.29,9410.0,5378.0,3725.0,2784.0,2024-12-27,2025-01-18,Link clicks,339.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,19700.0,52133.0,6994.82,9845.0,5653.0,3928.0,2948.0,2024-12-27,2025-01-19,Link clicks,351.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,19700.0,52133.0,6994.82,9845.0,5653.0,3928.0,2948.0,2024-12-27,2025-01-21,Link clicks,351.0
adult_ski_beginner__traffic__120215321990480063,to_date_campaign,19700.0,52133.0,6994.82,9845.0,5653.0,3928.0,2948.0,2024-12-27,2025-01-22,Link clicks,351.0
