name,type,reach,impressions,spend,date_start,date_stop,result_type,results,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,531.0,908.0,85.47,2025-01-26,2025-01-26,Link clicks,5,161.0,82.0,51.0,33.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,619.0,1095.0,127.15,2025-01-27,2025-01-27,Link clicks,8,214.0,131.0,85.0,60.0
adult_ski_beginner_lookalike__traffic__120216231043180063__120215321990480063__en,day_ad,865.0,1506.0,149.54,2025-01-27,2025-01-27,Link clicks,7,240.0,129.0,87.0,72.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,446.0,850.0,114.29,2025-01-28,2025-01-28,Link clicks,5,165.0,91.0,51.0,41.0
adult_ski_beginner_lookalike__traffic__120216231043180063__120215321990480063__en,day_ad,650.0,1173.0,142.33,2025-01-28,2025-01-28,Link clicks,4,191.0,117.0,84.0,66.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,538.0,831.0,117.01,2025-01-29,2025-01-29,Link clicks,3,146.0,78.0,56.0,39.0
adult_ski_beginner_lookalike__traffic__120216231043180063__120215321990480063__en,day_ad,558.0,944.0,136.19,2025-01-29,2025-01-29,Link clicks,4,123.0,67.0,47.0,36.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,768.0,1230.0,173.36,2025-01-30,2025-01-30,Link clicks,7,231.0,114.0,75.0,47.0
adult_ski_beginner_lookalike__traffic__120216231043180063__120215321990480063__en,day_ad,647.0,1039.0,150.01,2025-01-30,2025-01-30,Link clicks,10,164.0,93.0,69.0,52.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,230.0,316.0,68.37,2025-01-31,2025-01-31,Link clicks,2,52.0,29.0,22.0,14.0
adult_ski_beginner_lookalike__traffic__120216231043180063__120215321990480063__en,day_ad,297.0,426.0,112.44,2025-01-31,2025-01-31,Link clicks,2,82.0,57.0,44.0,39.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,233.0,321.0,89.53,2025-02-01,2025-02-01,Link clicks,5,57.0,35.0,25.0,22.0
adult_ski_beginner_lookalike__traffic__120216231043180063__120215321990480063__en,day_ad,354.0,515.0,135.86,2025-02-01,2025-02-01,Link clicks,3,60.0,36.0,29.0,24.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,269.0,361.0,102.98,2025-02-02,2025-02-02,Link clicks,3,80.0,52.0,37.0,31.0
adult_ski_beginner_lookalike__traffic__120216231043180063__120215321990480063__en,day_ad,296.0,412.0,98.65,2025-02-02,2025-02-02,Link clicks,1,64.0,42.0,32.0,26.0
adult_ski_beginner_lookalike__traffic__120216231043180063__120215321990480063__en,day_ad,836.0,1371.0,211.6,2025-02-03,2025-02-03,Link clicks,8,229.0,143.0,98.0,74.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,1079.0,1756.0,136.98,2025-02-03,2025-02-03,Link clicks,13,325.0,178.0,119.0,94.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,978.0,1625.0,134.52,2025-02-04,2025-02-04,Link clicks,8,250.0,120.0,88.0,66.0
adult_ski_beginner_lookalike__traffic__120216231043180063__120215321990480063__en,day_ad,747.0,1286.0,104.02,2025-02-04,2025-02-04,Link clicks,8,141.0,88.0,65.0,51.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,717.0,1071.0,87.92,2025-02-05,2025-02-05,Link clicks,8,170.0,89.0,58.0,46.0
adult_ski_beginner_lookalike__traffic__120216231043180063__120215321990480063__en,day_ad,557.0,868.0,71.54,2025-02-05,2025-02-05,Link clicks,5,98.0,56.0,34.0,28.0
adult_ski_beginner_lookalike__traffic__120216231043180063__en,day_ad,461.0,654.0,62.15,2025-02-06,2025-02-06,Link clicks,5,74.0,33.0,20.0,13.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,508.0,746.0,61.68,2025-02-06,2025-02-06,Link clicks,5,119.0,70.0,51.0,40.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,472.0,716.0,69.4,2025-02-07,2025-02-07,Link clicks,9,110.0,76.0,47.0,40.0
adult_ski_beginner_lookalike__traffic__120216231043180063__en,day_ad,518.0,736.0,67.48,2025-02-07,2025-02-07,Link clicks,6,79.0,50.0,37.0,32.0
adult_ski_beginner_lookalike__traffic__120216231043180063__en,day_ad,334.0,472.0,40.21,2025-02-08,2025-02-08,Link clicks,3,47.0,19.0,14.0,12.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,332.0,537.0,37.12,2025-02-08,2025-02-08,Link clicks,6,76.0,42.0,29.0,19.0
adult_ski_beginner_lookalike__traffic__120216231043180063__en,day_ad,535.0,776.0,70.8,2025-02-09,2025-02-09,Link clicks,3,122.0,68.0,42.0,33.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,520.0,915.0,69.87,2025-02-09,2025-02-09,Link clicks,6,143.0,99.0,76.0,67.0
adult_ski_beginner_lookalike__traffic__120216231043180063__en,day_ad,442.0,589.0,58.09,2025-02-10,2025-02-10,Link clicks,4,77.0,47.0,24.0,20.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,699.0,1002.0,56.41,2025-02-10,2025-02-10,Link clicks,4,124.0,59.0,41.0,33.0
adult_ski_beginner_lookalike__traffic__120216231043180063__cs,day_ad,1222.0,1295.0,59.81,2025-02-11,2025-02-11,Link clicks,2,160.0,87.0,50.0,31.0
adult_ski_beginner_lookalike__traffic__120216231043180063__en,day_ad,881.0,940.0,60.22,2025-02-11,2025-02-11,Link clicks,1,113.0,63.0,35.0,28.0
adult_ski_beginner_lookalike__traffic__120216231043180063__en,day_ad,594.0,638.0,42.69,2025-02-12,2025-02-12,Link clicks,0,94.0,42.0,31.0,21.0
