name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,531.0,908.0,85.47,161.0,82.0,51.0,33.0,2025-01-26,2025-01-26,Link clicks,5
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,1242.0,2601.0,276.69,454.0,260.0,172.0,132.0,2025-01-27,2025-01-27,Link clicks,15
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,938.0,2023.0,256.62,356.0,208.0,135.0,107.0,2025-01-28,2025-01-28,Link clicks,9
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,868.0,1775.0,253.2,269.0,145.0,103.0,75.0,2025-01-29,2025-01-29,Link clicks,7
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,1100.0,2269.0,323.37,395.0,207.0,144.0,99.0,2025-01-30,2025-01-30,Link clicks,17
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,463.0,742.0,180.81,134.0,86.0,66.0,53.0,2025-01-31,2025-01-31,Link clicks,4
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,514.0,836.0,225.39,117.0,71.0,54.0,46.0,2025-02-01,2025-02-01,Link clicks,8
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,492.0,773.0,201.63,144.0,94.0,69.0,57.0,2025-02-02,2025-02-02,Link clicks,4
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,1798.0,3127.0,348.58,554.0,321.0,217.0,168.0,2025-02-03,2025-02-03,Link clicks,21
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,1613.0,2911.0,238.54,391.0,208.0,153.0,117.0,2025-02-04,2025-02-04,Link clicks,16
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,1208.0,1939.0,159.46,268.0,145.0,92.0,74.0,2025-02-05,2025-02-05,Link clicks,13
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,939.0,1400.0,123.83,193.0,103.0,71.0,53.0,2025-02-06,2025-02-06,Link clicks,10
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,959.0,1452.0,136.88,189.0,126.0,84.0,72.0,2025-02-07,2025-02-07,Link clicks,15
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,648.0,1009.0,77.33,123.0,61.0,43.0,31.0,2025-02-08,2025-02-08,Link clicks,9
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,1029.0,1691.0,140.67,265.0,167.0,118.0,100.0,2025-02-09,2025-02-09,Link clicks,9
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,1090.0,1591.0,114.5,201.0,106.0,65.0,53.0,2025-02-10,2025-02-10,Link clicks,8
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,1863.0,2235.0,120.03,273.0,150.0,85.0,59.0,2025-02-11,2025-02-11,Link clicks,3
adult_ski_beginner_lookalike__traffic__120216231043180063,day_campaign,1330.0,1561.0,82.55,188.0,88.0,60.0,40.0,2025-02-12,2025-02-12,Link clicks,0
