name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
adult_ski_beginner_lookalike__traffic__120216231043180063,to_date_campaign,531.0,908.0,85.47,161.0,82.0,51.0,33.0,2025-01-25,2025-01-26,Link clicks,5.0
adult_ski_beginner_lookalike__traffic__120216231043180063,to_date_campaign,1632.0,3509.0,362.16,615.0,342.0,223.0,165.0,2025-01-25,2025-01-27,Link clicks,20.0
adult_ski_beginner_lookalike__traffic__120216231043180063,to_date_campaign,2316.0,5532.0,618.78,971.0,550.0,358.0,272.0,2025-01-25,2025-01-28,Link clicks,29.0
adult_ski_beginner_lookalike__traffic__120216231043180063,to_date_campaign,2914.0,7307.0,871.98,1240.0,695.0,461.0,347.0,2025-01-25,2025-01-29,Link clicks,36.0
adult_ski_beginner_lookalike__traffic__120216231043180063,to_date_campaign,3686.0,9576.0,1195.35,1635.0,902.0,605.0,446.0,2025-01-25,2025-01-30,Link clicks,53.0
adult_ski_beginner_lookalike__traffic__120216231043180063,to_date_campaign,3955.0,10318.0,1376.16,1769.0,988.0,671.0,499.0,2025-01-25,2025-01-31,Link clicks,57.0
adult_ski_beginner_lookalike__traffic__120216231043180063,to_date_campaign,4367.0,11155.0,1601.65,1886.0,1059.0,725.0,545.0,2025-01-25,2025-02-01,Link clicks,65.0
adult_ski_beginner_lookalike__traffic__120216231043180063,to_date_campaign,4718.0,11928.0,1803.28,2030.0,1153.0,794.0,602.0,2025-01-25,2025-02-02,Link clicks,69.0
adult_ski_beginner_lookalike__traffic__120216231043180063,to_date_campaign,6399.0,15055.0,2151.86,2584.0,1474.0,1011.0,770.0,2025-01-25,2025-02-03,Link clicks,90.0
adult_ski_beginner_lookalike__traffic__120216231043180063,to_date_campaign,7344.0,17966.0,2390.4,2975.0,1682.0,1164.0,887.0,2025-01-25,2025-02-04,Link clicks,106.0
adult_ski_beginner_lookalike__traffic__120216231043180063,to_date_campaign,7886.0,19905.0,2549.86,3243.0,1827.0,1256.0,961.0,2025-01-25,2025-02-05,Link clicks,119.0
adult_ski_beginner_lookalike__traffic__120216231043180063,to_date_campaign,8318.0,21314.0,2674.25,3436.0,1931.0,1327.0,1014.0,2025-01-25,2025-02-06,Link clicks,129.0
