name,type,reach,impressions,spend,date_start,date_stop,result_type,results,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,294.0,353.0,52.5,2025-02-12,2025-02-12,Link clicks,1,0.0,0.0,0.0,0.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,480.0,583.0,61.29,2025-02-12,2025-02-12,Link clicks,6,118.0,59.0,33.0,25.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,2023.0,3245.0,259.39,2025-02-13,2025-02-13,Link clicks,20,35.0,38.0,38.0,38.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,4050.0,7269.0,620.41,2025-02-13,2025-02-13,Link clicks,57,1412.0,750.0,465.0,340.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,1774.0,2627.0,107.09,2025-02-14,2025-02-14,Link clicks,8,21.0,26.0,26.0,26.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,3360.0,5820.0,549.63,2025-02-14,2025-02-14,Link clicks,47,865.0,400.0,267.0,199.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,582.0,809.0,47.29,2025-02-15,2025-02-15,Link clicks,4,4.0,4.0,4.0,4.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,1232.0,2002.0,155.63,2025-02-15,2025-02-15,Link clicks,17,267.0,133.0,85.0,61.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,892.0,1193.0,108.37,2025-02-16,2025-02-16,Link clicks,8,23.0,23.0,23.0,22.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,2438.0,3726.0,430.32,2025-02-16,2025-02-16,Link clicks,36,657.0,326.0,204.0,151.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,1168.0,1640.0,81.0,2025-02-17,2025-02-17,Link clicks,13,245.0,120.0,77.0,46.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,510.0,632.0,49.01,2025-02-17,2025-02-17,Link clicks,5,2.0,2.0,1.0,1.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,328.0,420.0,39.55,2025-02-18,2025-02-18,Link clicks,5,4.0,4.0,4.0,4.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,526.0,663.0,39.87,2025-02-18,2025-02-18,Link clicks,6,151.0,75.0,49.0,38.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,209.0,241.0,8.62,2025-02-19,2025-02-19,Link clicks,1,2.0,2.0,2.0,2.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,413.0,516.0,24.38,2025-02-19,2025-02-19,Link clicks,4,124.0,51.0,31.0,19.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,158.0,184.0,0.0,2025-02-20,2025-02-20,Link clicks,0,1.0,1.0,1.0,1.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,1086.0,1545.0,61.89,2025-02-20,2025-02-20,Link clicks,10,322.0,140.0,77.0,54.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,12.0,12.0,0.0,2025-02-21,2025-02-21,Link clicks,0,0.0,0.0,0.0,0.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,1596.0,2441.0,230.28,2025-02-21,2025-02-21,Link clicks,16,403.0,188.0,122.0,83.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,115.0,136.0,9.36,2025-02-22,2025-02-22,Link clicks,1,0.0,0.0,0.0,0.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,2722.0,4623.0,417.9,2025-02-22,2025-02-22,Link clicks,42,795.0,394.0,253.0,170.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,1013.0,1412.0,90.25,2025-02-23,2025-02-23,Link clicks,7,7.0,7.0,7.0,7.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,2372.0,3648.0,358.84,2025-02-23,2025-02-23,Link clicks,20,702.0,343.0,220.0,144.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,2957.0,5282.0,382.98,2025-02-24,2025-02-24,Link clicks,35,1089.0,533.0,335.0,226.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,1485.0,2372.0,115.62,2025-02-24,2025-02-24,Link clicks,6,43.0,43.0,43.0,43.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,1293.0,2109.0,79.63,2025-02-25,2025-02-25,Link clicks,5,15.0,16.0,16.0,16.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,2309.0,3921.0,375.42,2025-02-25,2025-02-25,Link clicks,27,722.0,350.0,211.0,141.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,1133.0,1952.0,163.99,2025-02-26,2025-02-26,Link clicks,10,37.0,39.0,39.0,40.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,1588.0,2743.0,326.76,2025-02-26,2025-02-26,Link clicks,14,475.0,231.0,155.0,108.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,1337.0,2286.0,146.7,2025-02-27,2025-02-27,Link clicks,7,26.0,27.0,27.0,27.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,1908.0,3199.0,463.81,2025-02-27,2025-02-27,Link clicks,17,549.0,257.0,153.0,105.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,1137.0,1859.0,128.5,2025-02-28,2025-02-28,Link clicks,7,9.0,9.0,9.0,9.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,1680.0,2951.0,291.13,2025-02-28,2025-02-28,Link clicks,11,444.0,223.0,139.0,98.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,645.0,1009.0,50.77,2025-03-01,2025-03-01,Link clicks,2,9.0,9.0,9.0,9.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,1122.0,1849.0,170.67,2025-03-01,2025-03-01,Link clicks,10,332.0,145.0,83.0,52.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,1826.0,3112.0,313.83,2025-03-02,2025-03-02,Link clicks,18,570.0,308.0,201.0,149.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,1192.0,1892.0,69.65,2025-03-02,2025-03-02,Link clicks,6,15.0,15.0,13.0,12.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,1658.0,2992.0,476.9,2025-03-03,2025-03-03,Link clicks,22,510.0,243.0,142.0,101.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,1102.0,1834.0,151.06,2025-03-03,2025-03-03,Link clicks,6,21.0,21.0,21.0,21.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,647.0,1025.0,20.13,2025-03-04,2025-03-04,Link clicks,1,13.0,13.0,13.0,13.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,962.0,1616.0,281.63,2025-03-04,2025-03-04,Link clicks,11,253.0,114.0,67.0,47.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,410.0,555.0,0.0,2025-03-05,2025-03-05,Link clicks,0,17.0,17.0,17.0,17.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,650.0,941.0,76.69,2025-03-05,2025-03-05,Link clicks,4,153.0,65.0,47.0,34.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,494.0,1013.0,112.84,2025-03-06,2025-03-06,Link clicks,5,3.0,3.0,3.0,3.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,200.0,277.0,0.0,2025-03-06,2025-03-06,Link clicks,0,49.0,24.0,10.0,4.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,673.0,1393.0,32.33,2025-03-07,2025-03-07,Link clicks,3,1.0,1.0,1.0,1.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,29.0,37.0,0.0,2025-03-07,2025-03-07,Link clicks,0,12.0,9.0,7.0,6.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,1242.0,2846.0,242.09,2025-03-08,2025-03-08,Link clicks,11,3.0,1.0,1.0,0.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,5.0,11.0,0.0,2025-03-08,2025-03-08,Link clicks,0,2.0,2.0,1.0,1.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,day_ad,636.0,945.0,76.7,2025-03-09,2025-03-09,Link clicks,3,0.0,0.0,0.0,0.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,day_ad,384.0,546.0,69.53,2025-03-09,2025-03-09,Link clicks,3,114.0,50.0,25.0,18.0
