name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,294.0,353.0,52.5,0.0,0.0,0.0,0.0,2025-02-12,2025-02-12,Link clicks,1.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,480.0,583.0,61.29,118.0,59.0,33.0,25.0,2025-02-12,2025-02-12,Link clicks,6.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,2184.0,3598.0,311.89,35.0,38.0,38.0,38.0,2025-02-12,2025-02-13,Link clicks,21.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,4270.0,7852.0,681.7,1530.0,809.0,498.0,365.0,2025-02-12,2025-02-13,Link clicks,63.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,3319.0,6225.0,418.98,56.0,64.0,64.0,64.0,2025-02-12,2025-02-14,Link clicks,29.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,6263.0,13672.0,1231.33,2395.0,1209.0,765.0,564.0,2025-02-12,2025-02-14,Link clicks,110.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,3641.0,7034.0,466.27,60.0,68.0,68.0,68.0,2025-02-12,2025-02-15,Link clicks,33.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,6855.0,15674.0,1386.96,2662.0,1342.0,850.0,625.0,2025-02-12,2025-02-15,Link clicks,127.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,4300.0,8227.0,574.64,83.0,91.0,91.0,90.0,2025-02-12,2025-02-16,Link clicks,41.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,8417.0,19400.0,1817.28,3319.0,1668.0,1054.0,776.0,2025-02-12,2025-02-16,Link clicks,163.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,9268.0,21040.0,1898.28,3564.0,1788.0,1131.0,822.0,2025-02-12,2025-02-17,Link clicks,176.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,4679.0,8859.0,623.65,85.0,93.0,92.0,91.0,2025-02-12,2025-02-17,Link clicks,46.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,4892.0,9279.0,663.2,89.0,97.0,96.0,95.0,2025-02-12,2025-02-18,Link clicks,51.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,9556.0,21703.0,1938.15,3715.0,1863.0,1180.0,860.0,2025-02-12,2025-02-18,Link clicks,182.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,5030.0,9520.0,671.82,91.0,99.0,98.0,97.0,2025-02-12,2025-02-19,Link clicks,52.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,9808.0,22219.0,1962.53,3839.0,1914.0,1211.0,879.0,2025-02-12,2025-02-19,Link clicks,186.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,5116.0,9704.0,671.82,92.0,100.0,99.0,98.0,2025-02-12,2025-02-20,Link clicks,52.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,10537.0,23764.0,2024.42,4161.0,2054.0,1288.0,933.0,2025-02-12,2025-02-20,Link clicks,196.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,5118.0,9716.0,671.82,92.0,100.0,99.0,98.0,2025-02-12,2025-02-21,Link clicks,52.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,11477.0,26205.0,2254.7,4564.0,2242.0,1410.0,1016.0,2025-02-12,2025-02-21,Link clicks,212.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,5214.0,9852.0,681.18,92.0,100.0,99.0,98.0,2025-02-12,2025-02-22,Link clicks,53.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,13233.0,30828.0,2672.6,5359.0,2636.0,1663.0,1186.0,2025-02-12,2025-02-22,Link clicks,254.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,5988.0,11264.0,771.43,99.0,107.0,106.0,105.0,2025-02-12,2025-02-23,Link clicks,60.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,14481.0,34476.0,3031.44,6061.0,2979.0,1883.0,1330.0,2025-02-12,2025-02-23,Link clicks,274.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,16067.0,39758.0,3414.42,7150.0,3512.0,2218.0,1556.0,2025-02-12,2025-02-24,Link clicks,309.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,6943.0,13636.0,887.05,142.0,150.0,149.0,148.0,2025-02-12,2025-02-24,Link clicks,66.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,7598.0,15745.0,966.68,157.0,166.0,165.0,164.0,2025-02-12,2025-02-25,Link clicks,71.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,17147.0,43679.0,3789.84,7872.0,3862.0,2429.0,1697.0,2025-02-12,2025-02-25,Link clicks,336.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,8093.0,17697.0,1130.67,194.0,205.0,204.0,204.0,2025-02-12,2025-02-26,Link clicks,81.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,17767.0,46422.0,4116.6,8347.0,4093.0,2584.0,1805.0,2025-02-12,2025-02-26,Link clicks,350.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,8707.0,19983.0,1277.37,220.0,232.0,231.0,231.0,2025-02-12,2025-02-27,Link clicks,88.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,18799.0,49621.0,4580.41,8896.0,4350.0,2737.0,1910.0,2025-02-12,2025-02-27,Link clicks,367.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,9302.0,21842.0,1405.87,229.0,241.0,240.0,240.0,2025-02-12,2025-02-28,Link clicks,95.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,19697.0,52572.0,4871.54,9340.0,4573.0,2876.0,2008.0,2025-02-12,2025-02-28,Link clicks,378.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,9596.0,22851.0,1456.64,238.0,250.0,249.0,249.0,2025-02-12,2025-03-01,Link clicks,97.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,20232.0,54421.0,5042.21,9672.0,4718.0,2959.0,2060.0,2025-02-12,2025-03-01,Link clicks,388.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,21388.0,57533.0,5356.04,10242.0,5026.0,3160.0,2209.0,2025-02-12,2025-03-02,Link clicks,406.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,10334.0,24743.0,1526.29,253.0,265.0,262.0,261.0,2025-02-12,2025-03-02,Link clicks,103.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,22272.0,60525.0,5832.94,10752.0,5269.0,3302.0,2310.0,2025-02-12,2025-03-03,Link clicks,428.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,10875.0,26577.0,1677.35,274.0,286.0,283.0,282.0,2025-02-12,2025-03-03,Link clicks,109.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,11128.0,27602.0,1697.48,287.0,299.0,296.0,295.0,2025-02-12,2025-03-04,Link clicks,110.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,23107.0,62141.0,6114.57,11005.0,5383.0,3369.0,2357.0,2025-02-12,2025-03-04,Link clicks,439.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,11272.0,28157.0,1697.48,304.0,316.0,313.0,312.0,2025-02-12,2025-03-05,Link clicks,110.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,23355.0,63082.0,6191.26,11158.0,5448.0,3416.0,2391.0,2025-02-12,2025-03-05,Link clicks,443.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,11628.0,29170.0,1810.32,307.0,319.0,316.0,315.0,2025-02-12,2025-03-06,Link clicks,115.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,23547.0,63359.0,6191.26,11207.0,5472.0,3426.0,2395.0,2025-02-12,2025-03-06,Link clicks,443.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,12028.0,30563.0,1842.65,308.0,320.0,317.0,316.0,2025-02-12,2025-03-07,Link clicks,118.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,23563.0,63396.0,6191.26,11219.0,5481.0,3433.0,2401.0,2025-02-12,2025-03-07,Link clicks,443.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,12792.0,33409.0,2084.74,311.0,321.0,318.0,316.0,2025-02-12,2025-03-08,Link clicks,129.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,23563.0,63407.0,6191.26,11221.0,5483.0,3434.0,2402.0,2025-02-12,2025-03-08,Link clicks,443.0
classicskischool_harrachov_pl__instructors__traffic__120217061278450063,to_date_ad,12976.0,34354.0,2161.44,311.0,321.0,318.0,316.0,2025-02-12,2025-03-09,Link clicks,132.0
classicskischool_harrachov_pl__beach__traffic__120217061278450063,to_date_ad,23859.0,63953.0,6260.79,11335.0,5533.0,3459.0,2420.0,2025-02-12,2025-03-09,Link clicks,446.0
