name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,710.0,936.0,113.79,118.0,59.0,33.0,25.0,2025-02-12,2025-02-12,Link clicks,7
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,4889.0,10514.0,879.8,1447.0,788.0,503.0,378.0,2025-02-13,2025-02-13,Link clicks,77
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,4153.0,8447.0,656.72,886.0,426.0,293.0,225.0,2025-02-14,2025-02-14,Link clicks,55
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,1580.0,2811.0,202.92,271.0,137.0,89.0,65.0,2025-02-15,2025-02-15,Link clicks,21
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,2929.0,4919.0,538.69,680.0,349.0,227.0,173.0,2025-02-16,2025-02-16,Link clicks,44
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,1501.0,2272.0,130.01,247.0,122.0,78.0,47.0,2025-02-17,2025-02-17,Link clicks,18
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,779.0,1083.0,79.42,155.0,79.0,53.0,42.0,2025-02-18,2025-02-18,Link clicks,11
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,582.0,757.0,33.0,126.0,53.0,33.0,21.0,2025-02-19,2025-02-19,Link clicks,5
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,1176.0,1729.0,61.89,323.0,141.0,78.0,55.0,2025-02-20,2025-02-20,Link clicks,10
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,1601.0,2453.0,230.28,403.0,188.0,122.0,83.0,2025-02-21,2025-02-21,Link clicks,16
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,2783.0,4759.0,427.26,795.0,394.0,253.0,170.0,2025-02-22,2025-02-22,Link clicks,43
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,2960.0,5060.0,449.09,709.0,350.0,227.0,151.0,2025-02-23,2025-02-23,Link clicks,27
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,3658.0,7654.0,498.6,1132.0,576.0,378.0,269.0,2025-02-24,2025-02-24,Link clicks,41
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,3003.0,6030.0,455.05,737.0,366.0,227.0,157.0,2025-02-25,2025-02-25,Link clicks,32
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,2182.0,4695.0,490.75,512.0,270.0,194.0,148.0,2025-02-26,2025-02-26,Link clicks,24
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,2563.0,5485.0,610.51,575.0,284.0,180.0,132.0,2025-02-27,2025-02-27,Link clicks,24
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,2273.0,4810.0,419.63,453.0,232.0,148.0,107.0,2025-02-28,2025-02-28,Link clicks,18
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,1513.0,2858.0,221.44,341.0,154.0,92.0,61.0,2025-03-01,2025-03-01,Link clicks,12
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,2433.0,5004.0,383.48,585.0,323.0,214.0,161.0,2025-03-02,2025-03-02,Link clicks,24
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,2195.0,4826.0,627.96,531.0,264.0,163.0,122.0,2025-03-03,2025-03-03,Link clicks,28
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,1354.0,2641.0,301.76,266.0,127.0,80.0,60.0,2025-03-04,2025-03-04,Link clicks,12
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,924.0,1496.0,76.69,170.0,82.0,64.0,51.0,2025-03-05,2025-03-05,Link clicks,4
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,580.0,1290.0,112.84,52.0,27.0,13.0,7.0,2025-03-06,2025-03-06,Link clicks,5
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,688.0,1430.0,32.33,13.0,10.0,8.0,7.0,2025-03-07,2025-03-07,Link clicks,3
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,1246.0,2857.0,242.09,5.0,3.0,2.0,1.0,2025-03-08,2025-03-08,Link clicks,11
classicskischool_harrachov_pl__traffic__120217061278450063,day_campaign,857.0,1491.0,146.23,114.0,50.0,25.0,18.0,2025-03-09,2025-03-09,Link clicks,6
