name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,710.0,936.0,113.79,118.0,59.0,33.0,25.0,2025-02-12,2025-02-12,Link clicks,7.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,5150.0,11450.0,993.59,1565.0,847.0,536.0,403.0,2025-02-12,2025-02-13,Link clicks,84.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,7341.0,19897.0,1650.31,2451.0,1273.0,829.0,628.0,2025-02-12,2025-02-14,Link clicks,139.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,8034.0,22708.0,1853.23,2722.0,1410.0,918.0,693.0,2025-02-12,2025-02-15,Link clicks,160.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,9810.0,27627.0,2391.92,3402.0,1759.0,1145.0,866.0,2025-02-12,2025-02-16,Link clicks,204.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,10579.0,29899.0,2521.93,3649.0,1881.0,1223.0,913.0,2025-02-12,2025-02-17,Link clicks,222.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,10975.0,30982.0,2601.35,3804.0,1960.0,1276.0,955.0,2025-02-12,2025-02-18,Link clicks,233.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,11298.0,31739.0,2634.35,3930.0,2013.0,1309.0,976.0,2025-02-12,2025-02-19,Link clicks,238.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,11970.0,33468.0,2696.24,4253.0,2154.0,1387.0,1031.0,2025-02-12,2025-02-20,Link clicks,248.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,12957.0,35921.0,2926.52,4656.0,2342.0,1509.0,1114.0,2025-02-12,2025-02-21,Link clicks,264.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,14734.0,40680.0,3353.78,5451.0,2736.0,1762.0,1284.0,2025-02-12,2025-02-22,Link clicks,307.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,16237.0,45740.0,3802.87,6160.0,3086.0,1989.0,1435.0,2025-02-12,2025-02-23,Link clicks,334.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,18003.0,53394.0,4301.47,7292.0,3662.0,2367.0,1704.0,2025-02-12,2025-02-24,Link clicks,375.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,19267.0,59424.0,4756.52,8029.0,4028.0,2594.0,1861.0,2025-02-12,2025-02-25,Link clicks,407.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,20043.0,64119.0,5247.27,8541.0,4298.0,2788.0,2009.0,2025-02-12,2025-02-26,Link clicks,431.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,21191.0,69604.0,5857.78,9116.0,4582.0,2968.0,2141.0,2025-02-12,2025-02-27,Link clicks,455.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,22289.0,74414.0,6277.41,9569.0,4814.0,3116.0,2248.0,2025-02-12,2025-02-28,Link clicks,473.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,23252.0,77272.0,6498.85,9910.0,4968.0,3208.0,2309.0,2025-02-12,2025-03-01,Link clicks,485.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,24612.0,82276.0,6882.33,10495.0,5291.0,3422.0,2470.0,2025-02-12,2025-03-02,Link clicks,509.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,25723.0,87102.0,7510.29,11026.0,5555.0,3585.0,2592.0,2025-02-12,2025-03-03,Link clicks,537.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,26155.0,89743.0,7812.05,11292.0,5682.0,3665.0,2652.0,2025-02-12,2025-03-04,Link clicks,549.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,26388.0,91239.0,7888.74,11462.0,5764.0,3729.0,2703.0,2025-02-12,2025-03-05,Link clicks,553.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,26756.0,92529.0,8001.58,11514.0,5791.0,3742.0,2710.0,2025-02-12,2025-03-06,Link clicks,558.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,27132.0,93959.0,8033.91,11527.0,5801.0,3750.0,2717.0,2025-02-12,2025-03-07,Link clicks,561.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,27812.0,96816.0,8276.0,11532.0,5804.0,3752.0,2718.0,2025-02-12,2025-03-08,Link clicks,572.0
classicskischool_harrachov_pl__traffic__120217061278450063,to_date_campaign,28060.0,98307.0,8422.23,11646.0,5854.0,3777.0,2736.0,2025-02-12,2025-03-09,Link clicks,578.0
