name,type,reach,impressions,spend,date_start,date_stop,result_type,results,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions
families_with_children__traffic__120215323827970063__cs,day_ad,1.0,1.0,0.12,2024-12-27,2024-12-27,Link clicks,1,0.0,0.0,0.0,0.0
families_with_children__traffic__120215323827970063__cs,day_ad,1.0,1.0,0.12,2024-12-27,2024-12-27,Link clicks,1,0.0,0.0,0.0,0.0
families_with_children__traffic__120215323827970063__cs,day_ad,1129.0,2257.0,263.53,2024-12-28,2024-12-28,Link clicks,26,2.0,2.0,2.0,2.0
families_with_children__traffic__120215323827970063__en,day_ad,938.0,1989.0,263.75,2024-12-28,2024-12-28,Link clicks,22,2.0,2.0,2.0,2.0
families_with_children__traffic__120215323827970063__cs,day_ad,1129.0,2257.0,263.53,2024-12-28,2024-12-28,Link clicks,26,2.0,2.0,2.0,2.0
families_with_children__traffic__120215323827970063__en,day_ad,938.0,1989.0,263.75,2024-12-28,2024-12-28,Link clicks,22,2.0,2.0,2.0,2.0
families_with_children__traffic__120215323827970063__cs,day_ad,1018.0,1908.0,257.26,2024-12-29,2024-12-29,Link clicks,17,15.0,15.0,15.0,15.0
families_with_children__traffic__120215323827970063__en,day_ad,1001.0,2066.0,264.59,2024-12-29,2024-12-29,Link clicks,5,3.0,3.0,3.0,3.0
families_with_children__traffic__120215323827970063__cs,day_ad,1018.0,1908.0,257.26,2024-12-29,2024-12-29,Link clicks,17,15.0,15.0,15.0,15.0
families_with_children__traffic__120215323827970063__en,day_ad,1001.0,2066.0,264.59,2024-12-29,2024-12-29,Link clicks,5,3.0,3.0,3.0,3.0
families_with_children__traffic__120215323827970063__cs,day_ad,844.0,1555.0,206.95,2024-12-30,2024-12-30,Link clicks,9,20.0,20.0,20.0,20.0
families_with_children__traffic__120215323827970063__en,day_ad,878.0,1663.0,208.33,2024-12-30,2024-12-30,Link clicks,9,10.0,10.0,10.0,10.0
families_with_children__traffic__120215323827970063__cs,day_ad,844.0,1555.0,206.95,2024-12-30,2024-12-30,Link clicks,9,20.0,20.0,20.0,20.0
families_with_children__traffic__120215323827970063__en,day_ad,878.0,1663.0,208.33,2024-12-30,2024-12-30,Link clicks,9,10.0,10.0,10.0,10.0
families_with_children__traffic__120215323827970063__en,day_ad,406.0,479.0,34.64,2025-01-02,2025-01-02,Link clicks,2,88.0,44.0,26.0,16.0
families_with_children__traffic__120215323827970063__pl,day_ad,1600.0,2102.0,218.32,2025-01-02,2025-01-02,Link clicks,15,424.0,220.0,148.0,108.0
families_with_children__traffic__120215323827970063__de,day_ad,1537.0,1902.0,218.63,2025-01-02,2025-01-02,Link clicks,12,384.0,224.0,139.0,105.0
families_with_children__traffic__120215323827970063__cs,day_ad,451.0,517.0,37.14,2025-01-02,2025-01-02,Link clicks,4,128.0,67.0,46.0,38.0
families_with_children__traffic__120215323827970063__de,day_ad,2062.0,2735.0,197.86,2025-01-03,2025-01-03,Link clicks,13,573.0,301.0,183.0,120.0
families_with_children__traffic__120215323827970063__cs,day_ad,1575.0,1983.0,111.97,2025-01-03,2025-01-03,Link clicks,19,429.0,203.0,120.0,83.0
families_with_children__traffic__120215323827970063__en,day_ad,1467.0,1939.0,111.39,2025-01-03,2025-01-03,Link clicks,15,380.0,190.0,118.0,85.0
families_with_children__traffic__120215323827970063__pl,day_ad,2135.0,2798.0,197.28,2025-01-03,2025-01-03,Link clicks,19,701.0,376.0,224.0,156.0
families_with_children__traffic__120215323827970063__en,day_ad,904.0,1123.0,88.91,2025-01-04,2025-01-04,Link clicks,10,215.0,117.0,74.0,55.0
families_with_children__traffic__120215323827970063__pl,day_ad,1669.0,2121.0,175.18,2025-01-04,2025-01-04,Link clicks,19,537.0,264.0,169.0,120.0
families_with_children__traffic__120215323827970063__de,day_ad,1667.0,2338.0,205.21,2025-01-04,2025-01-04,Link clicks,12,519.0,259.0,166.0,121.0
families_with_children__traffic__120215323827970063__cs,day_ad,1125.0,1449.0,119.55,2025-01-04,2025-01-04,Link clicks,6,323.0,167.0,113.0,71.0
families_with_children__traffic__120215323827970063__de,day_ad,643.0,923.0,106.34,2025-01-05,2025-01-05,Link clicks,5,166.0,78.0,56.0,40.0
families_with_children__traffic__120215323827970063__cs,day_ad,593.0,811.0,101.16,2025-01-05,2025-01-05,Link clicks,2,173.0,83.0,53.0,35.0
families_with_children__traffic__120215323827970063__en,day_ad,482.0,716.0,75.76,2025-01-05,2025-01-05,Link clicks,5,140.0,75.0,52.0,47.0
families_with_children__traffic__120215323827970063__pl,day_ad,568.0,800.0,88.98,2025-01-05,2025-01-05,Link clicks,7,168.0,93.0,58.0,34.0
families_with_children__traffic__120215323827970063__pl,day_ad,356.0,509.0,177.17,2025-01-10,2025-01-10,Link clicks,6,18.0,10.0,6.0,4.0
families_with_children__traffic__120215323827970063__de,day_ad,499.0,707.0,177.53,2025-01-10,2025-01-10,Link clicks,2,39.0,25.0,20.0,15.0
families_with_children__traffic__120215323827970063__cs,day_ad,459.0,639.0,166.72,2025-01-10,2025-01-10,Link clicks,6,23.0,16.0,11.0,8.0
families_with_children__traffic__120215323827970063__en,day_ad,354.0,456.0,157.83,2025-01-10,2025-01-10,Link clicks,3,32.0,22.0,11.0,7.0
families_with_children__traffic__120215323827970063__pl,day_ad,455.0,615.0,165.73,2025-01-11,2025-01-11,Link clicks,2,167.0,99.0,65.0,44.0
families_with_children__traffic__120215323827970063__en,day_ad,468.0,673.0,159.55,2025-01-11,2025-01-11,Link clicks,2,137.0,80.0,52.0,38.0
families_with_children__traffic__120215323827970063__de,day_ad,490.0,660.0,166.34,2025-01-11,2025-01-11,Link clicks,2,118.0,70.0,44.0,32.0
families_with_children__traffic__120215323827970063__cs,day_ad,472.0,647.0,162.43,2025-01-11,2025-01-11,Link clicks,12,150.0,94.0,67.0,50.0
families_with_children__traffic__120215323827970063__de,day_ad,304.0,405.0,110.64,2025-01-12,2025-01-12,Link clicks,2,90.0,59.0,43.0,30.0
families_with_children__traffic__120215323827970063__cs,day_ad,324.0,428.0,103.89,2025-01-12,2025-01-12,Link clicks,3,93.0,47.0,32.0,24.0
families_with_children__traffic__120215323827970063__en,day_ad,343.0,438.0,106.81,2025-01-12,2025-01-12,Link clicks,2,94.0,50.0,27.0,22.0
families_with_children__traffic__120215323827970063__pl,day_ad,285.0,351.0,101.35,2025-01-12,2025-01-12,Link clicks,1,91.0,49.0,29.0,19.0
families_with_children__traffic__120215323827970063__pl,day_ad,372.0,516.0,182.3,2025-01-17,2025-01-17,Link clicks,4,144.0,86.0,60.0,45.0
families_with_children__traffic__120215323827970063__cs,day_ad,430.0,566.0,185.76,2025-01-17,2025-01-17,Link clicks,10,134.0,81.0,52.0,40.0
families_with_children__traffic__120215323827970063__en,day_ad,452.0,611.0,161.6,2025-01-17,2025-01-17,Link clicks,3,117.0,60.0,32.0,23.0
families_with_children__traffic__120215323827970063__de,day_ad,424.0,567.0,161.75,2025-01-17,2025-01-17,Link clicks,2,104.0,54.0,34.0,26.0
families_with_children__traffic__120215323827970063__cs,day_ad,439.0,575.0,169.92,2025-01-18,2025-01-18,Link clicks,8,120.0,69.0,50.0,38.0
families_with_children__traffic__120215323827970063__en,day_ad,427.0,583.0,169.09,2025-01-18,2025-01-18,Link clicks,6,135.0,60.0,42.0,34.0
