name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
families_with_children__traffic__120215323827970063__cs,to_date_ad,1.0,1.0,0.12,0.0,0.0,0.0,0.0,2024-12-27,2024-12-27,Link clicks,1.0
families_with_children__traffic__120215323827970063__cs,to_date_ad,1.0,1.0,0.12,0.0,0.0,0.0,0.0,2024-12-27,2024-12-27,Link clicks,1.0
families_with_children__traffic__120215323827970063__en,to_date_ad,938.0,1989.0,263.75,2.0,2.0,2.0,2.0,2024-12-27,2024-12-28,Link clicks,22.0
families_with_children__traffic__120215323827970063__cs,to_date_ad,1130.0,2258.0,263.65,2.0,2.0,2.0,2.0,2024-12-27,2024-12-28,Link clicks,27.0
families_with_children__traffic__120215323827970063__en,to_date_ad,938.0,1989.0,263.75,2.0,2.0,2.0,2.0,2024-12-27,2024-12-28,Link clicks,22.0
families_with_children__traffic__120215323827970063__cs,to_date_ad,1718.0,4166.0,520.91,17.0,17.0,17.0,17.0,2024-12-27,2024-12-29,Link clicks,44.0
families_with_children__traffic__120215323827970063__en,to_date_ad,1512.0,4055.0,528.34,5.0,5.0,5.0,5.0,2024-12-27,2024-12-29,Link clicks,27.0
families_with_children__traffic__120215323827970063__cs,to_date_ad,1718.0,4166.0,520.91,17.0,17.0,17.0,17.0,2024-12-27,2024-12-29,Link clicks,44.0
families_with_children__traffic__120215323827970063__en,to_date_ad,1512.0,4055.0,528.34,5.0,5.0,5.0,5.0,2024-12-27,2024-12-29,Link clicks,27.0
families_with_children__traffic__120215323827970063__en,to_date_ad,1938.0,5718.0,736.67,15.0,15.0,15.0,15.0,2024-12-27,2024-12-30,Link clicks,36.0
families_with_children__traffic__120215323827970063__cs,to_date_ad,2157.0,5721.0,727.86,37.0,37.0,37.0,37.0,2024-12-27,2024-12-30,Link clicks,53.0
families_with_children__traffic__120215323827970063__cs,to_date_ad,2157.0,5721.0,727.86,37.0,37.0,37.0,37.0,2024-12-27,2024-12-30,Link clicks,53.0
