name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
families_with_children__traffic__120215323827970063,day_campaign,1.0,1.0,0.12,0.0,0.0,0.0,0.0,2024-12-27,2024-12-27,Link clicks,1
families_with_children__traffic__120215323827970063,day_campaign,1.0,1.0,0.12,0.0,0.0,0.0,0.0,2024-12-27,2024-12-27,Link clicks,1
families_with_children__traffic__120215323827970063,day_campaign,1910.0,4246.0,527.28,4.0,4.0,4.0,4.0,2024-12-28,2024-12-28,Link clicks,48
families_with_children__traffic__120215323827970063,day_campaign,1910.0,4246.0,527.28,4.0,4.0,4.0,4.0,2024-12-28,2024-12-28,Link clicks,48
families_with_children__traffic__120215323827970063,day_campaign,1941.0,3974.0,521.85,18.0,18.0,18.0,18.0,2024-12-29,2024-12-29,Link clicks,22
families_with_children__traffic__120215323827970063,day_campaign,1941.0,3974.0,521.85,18.0,18.0,18.0,18.0,2024-12-29,2024-12-29,Link clicks,22
families_with_children__traffic__120215323827970063,day_campaign,1685.0,3218.0,415.28,30.0,30.0,30.0,30.0,2024-12-30,2024-12-30,Link clicks,18
families_with_children__traffic__120215323827970063,day_campaign,1685.0,3218.0,415.28,30.0,30.0,30.0,30.0,2024-12-30,2024-12-30,Link clicks,18
families_with_children__traffic__120215323827970063,day_campaign,3332.0,5000.0,508.73,1024.0,555.0,359.0,267.0,2025-01-02,2025-01-02,Link clicks,33
families_with_children__traffic__120215323827970063,day_campaign,5651.0,9455.0,618.5,2083.0,1070.0,645.0,444.0,2025-01-03,2025-01-03,Link clicks,66
families_with_children__traffic__120215323827970063,day_campaign,4055.0,7031.0,588.85,1594.0,807.0,522.0,367.0,2025-01-04,2025-01-04,Link clicks,47
families_with_children__traffic__120215323827970063,day_campaign,1519.0,3250.0,372.24,647.0,329.0,219.0,156.0,2025-01-05,2025-01-05,Link clicks,19
families_with_children__traffic__120215323827970063,day_campaign,1124.0,2311.0,679.25,112.0,73.0,48.0,34.0,2025-01-10,2025-01-10,Link clicks,17
families_with_children__traffic__120215323827970063,day_campaign,1267.0,2595.0,654.05,572.0,343.0,228.0,164.0,2025-01-11,2025-01-11,Link clicks,18
families_with_children__traffic__120215323827970063,day_campaign,911.0,1622.0,422.69,368.0,205.0,131.0,95.0,2025-01-12,2025-01-12,Link clicks,8
families_with_children__traffic__120215323827970063,day_campaign,1130.0,2260.0,691.41,499.0,281.0,178.0,134.0,2025-01-17,2025-01-17,Link clicks,19
families_with_children__traffic__120215323827970063,day_campaign,1194.0,2197.0,688.87,513.0,271.0,185.0,145.0,2025-01-18,2025-01-18,Link clicks,17
families_with_children__traffic__120215323827970063,day_campaign,1098.0,2150.0,528.36,507.0,286.0,209.0,163.0,2025-01-19,2025-01-19,Link clicks,10
families_with_children__traffic__120215323827970063,day_campaign,1697.0,3128.0,867.18,632.0,326.0,208.0,149.0,2025-01-24,2025-01-24,Link clicks,24
families_with_children__traffic__120215323827970063,day_campaign,1399.0,2481.0,744.24,549.0,290.0,182.0,140.0,2025-01-25,2025-01-25,Link clicks,14
families_with_children__traffic__120215323827970063,day_campaign,1226.0,2971.0,798.07,575.0,327.0,206.0,160.0,2025-01-31,2025-01-31,Link clicks,10
families_with_children__traffic__120215323827970063,day_campaign,1193.0,2649.0,767.66,516.0,294.0,198.0,150.0,2025-02-01,2025-02-01,Link clicks,19
families_with_children__traffic__120215323827970063,day_campaign,742.0,1391.0,368.12,298.0,166.0,115.0,92.0,2025-02-02,2025-02-02,Link clicks,3
