name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
families_with_children__traffic__120215323827970063,to_date_campaign,1.0,1.0,0.12,0.0,0.0,0.0,0.0,2024-12-27,2024-12-27,Link clicks,1.0
families_with_children__traffic__120215323827970063,to_date_campaign,1.0,1.0,0.12,0.0,0.0,0.0,0.0,2024-12-27,2024-12-27,Link clicks,1.0
families_with_children__traffic__120215323827970063,to_date_campaign,1911.0,4247.0,527.4,4.0,4.0,4.0,4.0,2024-12-27,2024-12-28,Link clicks,49.0
families_with_children__traffic__120215323827970063,to_date_campaign,1911.0,4247.0,527.4,4.0,4.0,4.0,4.0,2024-12-27,2024-12-28,Link clicks,49.0
families_with_children__traffic__120215323827970063,to_date_campaign,2975.0,8221.0,1049.25,22.0,22.0,22.0,22.0,2024-12-27,2024-12-29,Link clicks,71.0
families_with_children__traffic__120215323827970063,to_date_campaign,2975.0,8221.0,1049.25,22.0,22.0,22.0,22.0,2024-12-27,2024-12-29,Link clicks,71.0
families_with_children__traffic__120215323827970063,to_date_campaign,3791.0,11439.0,1464.53,52.0,52.0,52.0,52.0,2024-12-27,2024-12-30,Link clicks,89.0
families_with_children__traffic__120215323827970063,to_date_campaign,3791.0,11439.0,1464.53,52.0,52.0,52.0,52.0,2024-12-27,2024-12-30,Link clicks,89.0
families_with_children__traffic__120215323827970063,to_date_campaign,3791.0,11439.0,1464.53,52.0,52.0,52.0,52.0,2024-12-27,2024-12-31,Link clicks,89.0
families_with_children__traffic__120215323827970063,to_date_campaign,3791.0,11439.0,1464.53,52.0,52.0,52.0,52.0,2024-12-27,2025-01-01,Link clicks,89.0
families_with_children__traffic__120215323827970063,to_date_campaign,6749.0,16439.0,1973.26,1076.0,607.0,411.0,319.0,2024-12-27,2025-01-02,Link clicks,122.0
families_with_children__traffic__120215323827970063,to_date_campaign,11104.0,25894.0,2591.76,3159.0,1677.0,1056.0,763.0,2024-12-27,2025-01-03,Link clicks,188.0
