name,type,reach,impressions,spend,date_start,date_stop,result_type,results,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,426.0,634.0,52.87,2025-02-06,2025-02-06,Link clicks,1,106.0,51.0,35.0,30.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,421.0,634.0,61.51,2025-02-07,2025-02-07,Link clicks,3,100.0,56.0,28.0,15.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,410.0,603.0,45.49,2025-02-08,2025-02-08,Link clicks,6,114.0,72.0,47.0,35.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,562.0,847.0,70.25,2025-02-09,2025-02-09,Link clicks,10,196.0,120.0,93.0,73.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,573.0,763.0,65.35,2025-02-10,2025-02-10,Link clicks,8,158.0,91.0,66.0,46.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,1500.0,1630.0,89.04,2025-02-11,2025-02-11,Link clicks,1,200.0,94.0,56.0,41.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,712.0,818.0,50.88,2025-02-12,2025-02-12,Link clicks,3,75.0,35.0,22.0,18.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,458.0,778.0,53.49,2025-02-13,2025-02-13,Link clicks,7,107.0,65.0,35.0,26.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,432.0,890.0,140.82,2025-02-14,2025-02-14,Link clicks,12,118.0,66.0,46.0,38.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,343.0,532.0,48.51,2025-02-14,2025-02-14,Link clicks,1,57.0,21.0,11.0,6.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,331.0,622.0,64.09,2025-02-15,2025-02-15,Link clicks,7,81.0,43.0,34.0,21.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,371.0,558.0,44.41,2025-02-15,2025-02-15,Link clicks,6,59.0,28.0,21.0,16.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,485.0,755.0,66.35,2025-02-16,2025-02-16,Link clicks,4,86.0,45.0,23.0,15.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,416.0,810.0,94.04,2025-02-16,2025-02-16,Link clicks,10,135.0,83.0,51.0,40.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,368.0,753.0,93.72,2025-02-17,2025-02-17,Link clicks,12,98.0,53.0,35.0,27.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,486.0,797.0,60.37,2025-02-17,2025-02-17,Link clicks,4,77.0,33.0,20.0,16.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,315.0,576.0,53.93,2025-02-18,2025-02-18,Link clicks,3,79.0,43.0,26.0,18.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,497.0,750.0,63.56,2025-02-18,2025-02-18,Link clicks,3,77.0,37.0,14.0,11.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,298.0,463.0,47.28,2025-02-19,2025-02-19,Link clicks,6,103.0,57.0,37.0,26.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,459.0,721.0,60.23,2025-02-19,2025-02-19,Link clicks,3,91.0,44.0,35.0,25.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,317.0,512.0,56.81,2025-02-20,2025-02-20,Link clicks,6,104.0,61.0,42.0,29.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,463.0,720.0,62.66,2025-02-20,2025-02-20,Link clicks,7,77.0,36.0,25.0,18.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,371.0,615.0,81.35,2025-02-21,2025-02-21,Link clicks,6,115.0,65.0,36.0,27.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,515.0,780.0,81.29,2025-02-21,2025-02-21,Link clicks,5,95.0,44.0,29.0,22.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,476.0,961.0,110.84,2025-02-22,2025-02-22,Link clicks,5,166.0,79.0,48.0,26.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,666.0,1080.0,109.9,2025-02-22,2025-02-22,Link clicks,5,122.0,51.0,30.0,21.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,745.0,1306.0,127.79,2025-02-23,2025-02-23,Link clicks,5,149.0,87.0,55.0,39.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,451.0,946.0,124.55,2025-02-23,2025-02-23,Link clicks,17,182.0,87.0,56.0,38.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,380.0,850.0,135.61,2025-02-24,2025-02-24,Link clicks,4,161.0,87.0,53.0,35.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,755.0,1369.0,134.82,2025-02-24,2025-02-24,Link clicks,5,161.0,85.0,48.0,37.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,325.0,752.0,149.7,2025-02-25,2025-02-25,Link clicks,11,105.0,47.0,31.0,24.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,1039.0,1800.0,188.33,2025-02-25,2025-02-25,Link clicks,11,222.0,111.0,72.0,53.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,324.0,692.0,132.56,2025-02-26,2025-02-26,Link clicks,4,95.0,49.0,34.0,21.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,681.0,1331.0,118.69,2025-02-26,2025-02-26,Link clicks,6,130.0,66.0,47.0,40.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,347.0,790.0,146.53,2025-02-27,2025-02-27,Link clicks,5,116.0,61.0,34.0,18.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,582.0,983.0,96.06,2025-02-27,2025-02-27,Link clicks,3,101.0,48.0,23.0,17.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,335.0,668.0,104.42,2025-02-28,2025-02-28,Link clicks,4,128.0,72.0,42.0,28.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,664.0,1188.0,104.89,2025-02-28,2025-02-28,Link clicks,5,99.0,45.0,30.0,23.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,346.0,699.0,81.63,2025-03-01,2025-03-01,Link clicks,4,111.0,66.0,51.0,33.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,742.0,1312.0,102.53,2025-03-01,2025-03-01,Link clicks,3,138.0,65.0,43.0,32.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,839.0,1475.0,129.12,2025-03-02,2025-03-02,Link clicks,11,158.0,73.0,49.0,37.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,416.0,844.0,139.16,2025-03-02,2025-03-02,Link clicks,8,178.0,110.0,69.0,52.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,339.0,790.0,135.23,2025-03-03,2025-03-03,Link clicks,12,157.0,82.0,45.0,37.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,838.0,1541.0,136.1,2025-03-03,2025-03-03,Link clicks,9,145.0,58.0,37.0,22.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,268.0,620.0,118.03,2025-03-04,2025-03-04,Link clicks,4,113.0,63.0,43.0,32.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,755.0,1314.0,115.22,2025-03-04,2025-03-04,Link clicks,5,123.0,58.0,38.0,27.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,122.0,201.0,46.52,2025-03-05,2025-03-05,Link clicks,3,50.0,26.0,13.0,10.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,447.0,678.0,70.43,2025-03-05,2025-03-05,Link clicks,6,87.0,49.0,32.0,22.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,283.0,913.0,198.74,2025-03-06,2025-03-06,Link clicks,10,118.0,65.0,47.0,31.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,655.0,1349.0,149.11,2025-03-06,2025-03-06,Link clicks,9,95.0,45.0,23.0,19.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,364.0,1015.0,186.25,2025-03-07,2025-03-07,Link clicks,12,164.0,86.0,46.0,33.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,685.0,1317.0,151.5,2025-03-07,2025-03-07,Link clicks,8,132.0,68.0,40.0,32.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,220.0,426.0,50.89,2025-03-08,2025-03-08,Link clicks,6,72.0,44.0,18.0,13.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,610.0,1101.0,122.51,2025-03-08,2025-03-08,Link clicks,12,109.0,52.0,30.0,21.0
families_with_children_lookalike__traffic__120216689702520063__cs,day_ad,347.0,845.0,120.47,2025-03-09,2025-03-09,Link clicks,10,132.0,72.0,51.0,41.0
families_with_children_lookalike__traffic__120216689702520063__en,day_ad,677.0,1250.0,128.7,2025-03-09,2025-03-09,Link clicks,8,115.0,51.0,35.0,27.0
