name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,426.0,634.0,52.87,106.0,51.0,35.0,30.0,2025-01-25,2025-02-06,Link clicks,1.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,729.0,1268.0,114.38,206.0,107.0,63.0,45.0,2025-01-25,2025-02-07,Link clicks,4.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,1011.0,1871.0,159.87,320.0,179.0,110.0,80.0,2025-01-25,2025-02-08,Link clicks,10.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,1438.0,2718.0,230.12,516.0,299.0,203.0,153.0,2025-01-25,2025-02-09,Link clicks,20.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,1871.0,3481.0,295.47,674.0,390.0,269.0,199.0,2025-01-25,2025-02-10,Link clicks,28.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,3109.0,5111.0,384.51,874.0,484.0,325.0,240.0,2025-01-25,2025-02-11,Link clicks,29.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,3803.0,6707.0,488.88,1056.0,584.0,382.0,284.0,2025-01-25,2025-02-13,Link clicks,39.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,4155.0,7597.0,629.7,1174.0,650.0,428.0,322.0,2025-01-25,2025-02-14,Link clicks,51.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,343.0,532.0,48.51,57.0,21.0,11.0,6.0,2025-01-25,2025-02-14,Link clicks,1.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,4382.0,8219.0,693.79,1255.0,693.0,462.0,343.0,2025-01-25,2025-02-15,Link clicks,58.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,603.0,1090.0,92.92,116.0,49.0,32.0,22.0,2025-01-25,2025-02-15,Link clicks,7.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,4666.0,9029.0,787.83,1390.0,776.0,513.0,383.0,2025-01-25,2025-02-16,Link clicks,68.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,925.0,1845.0,159.27,202.0,94.0,55.0,37.0,2025-01-25,2025-02-16,Link clicks,11.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,1230.0,2642.0,219.64,279.0,127.0,75.0,53.0,2025-01-25,2025-02-17,Link clicks,15.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,4922.0,9782.0,881.55,1488.0,829.0,548.0,410.0,2025-01-25,2025-02-17,Link clicks,80.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,5161.0,10358.0,935.48,1567.0,872.0,574.0,428.0,2025-01-25,2025-02-18,Link clicks,83.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,1527.0,3392.0,283.2,356.0,164.0,89.0,64.0,2025-01-25,2025-02-18,Link clicks,18.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,5341.0,10821.0,982.76,1670.0,929.0,611.0,454.0,2025-01-25,2025-02-19,Link clicks,89.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,1800.0,4113.0,343.43,447.0,208.0,124.0,89.0,2025-01-25,2025-02-19,Link clicks,21.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,5525.0,11333.0,1039.57,1774.0,990.0,653.0,483.0,2025-01-25,2025-02-20,Link clicks,95.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,2041.0,4833.0,406.09,524.0,244.0,149.0,107.0,2025-01-25,2025-02-20,Link clicks,28.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,5793.0,11948.0,1120.92,1889.0,1055.0,689.0,510.0,2025-01-25,2025-02-21,Link clicks,101.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,2339.0,5613.0,487.38,619.0,288.0,178.0,129.0,2025-01-25,2025-02-21,Link clicks,33.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,6121.0,12909.0,1231.76,2055.0,1134.0,737.0,536.0,2025-01-25,2025-02-22,Link clicks,106.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,2731.0,6693.0,597.28,741.0,339.0,208.0,150.0,2025-01-25,2025-02-22,Link clicks,38.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,6464.0,13855.0,1356.31,2237.0,1221.0,793.0,574.0,2025-01-25,2025-02-23,Link clicks,123.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,3137.0,7999.0,725.07,890.0,426.0,263.0,189.0,2025-01-25,2025-02-23,Link clicks,43.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,3493.0,9368.0,859.89,1051.0,511.0,311.0,226.0,2025-01-25,2025-02-24,Link clicks,48.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,6708.0,14705.0,1491.92,2398.0,1308.0,846.0,609.0,2025-01-25,2025-02-24,Link clicks,127.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,6918.0,15457.0,1641.62,2503.0,1355.0,877.0,633.0,2025-01-25,2025-02-25,Link clicks,138.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,4149.0,11168.0,1048.22,1273.0,622.0,383.0,279.0,2025-01-25,2025-02-25,Link clicks,59.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,7126.0,16149.0,1774.18,2598.0,1404.0,911.0,654.0,2025-01-25,2025-02-26,Link clicks,142.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,4455.0,12499.0,1166.91,1403.0,688.0,430.0,319.0,2025-01-25,2025-02-26,Link clicks,65.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,7374.0,16939.0,1920.71,2714.0,1465.0,945.0,672.0,2025-01-25,2025-02-27,Link clicks,147.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,4660.0,13482.0,1262.97,1504.0,736.0,453.0,336.0,2025-01-25,2025-02-27,Link clicks,68.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,7618.0,17607.0,2025.13,2842.0,1537.0,987.0,700.0,2025-01-25,2025-02-28,Link clicks,151.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,4939.0,14670.0,1367.86,1603.0,781.0,483.0,359.0,2025-01-25,2025-02-28,Link clicks,73.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,7852.0,18306.0,2106.76,2953.0,1603.0,1038.0,733.0,2025-01-25,2025-03-01,Link clicks,155.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,5241.0,15982.0,1470.39,1741.0,846.0,526.0,391.0,2025-01-25,2025-03-01,Link clicks,76.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,8120.0,19150.0,2245.92,3131.0,1713.0,1107.0,785.0,2025-01-25,2025-03-02,Link clicks,163.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,5571.0,17457.0,1599.51,1899.0,919.0,575.0,428.0,2025-01-25,2025-03-02,Link clicks,87.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,5896.0,18998.0,1735.61,2044.0,977.0,612.0,450.0,2025-01-25,2025-03-03,Link clicks,96.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,8352.0,19940.0,2381.15,3288.0,1795.0,1152.0,822.0,2025-01-25,2025-03-03,Link clicks,175.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,8544.0,20560.0,2499.18,3401.0,1858.0,1195.0,854.0,2025-01-25,2025-03-04,Link clicks,179.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,6200.0,20312.0,1850.83,2167.0,1035.0,650.0,477.0,2025-01-25,2025-03-04,Link clicks,101.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,8612.0,20761.0,2545.7,3451.0,1884.0,1208.0,864.0,2025-01-25,2025-03-05,Link clicks,182.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,6456.0,20990.0,1921.26,2254.0,1084.0,682.0,499.0,2025-01-25,2025-03-05,Link clicks,107.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,8860.0,21674.0,2744.44,3569.0,1949.0,1255.0,895.0,2025-01-25,2025-03-06,Link clicks,192.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,6746.0,22339.0,2070.37,2349.0,1129.0,705.0,518.0,2025-01-25,2025-03-06,Link clicks,116.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,9108.0,22689.0,2930.69,3733.0,2035.0,1301.0,928.0,2025-01-25,2025-03-07,Link clicks,204.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,6966.0,23656.0,2221.87,2481.0,1197.0,745.0,550.0,2025-01-25,2025-03-07,Link clicks,124.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,9218.0,23115.0,2981.58,3805.0,2079.0,1319.0,941.0,2025-01-25,2025-03-08,Link clicks,210.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,7242.0,24757.0,2344.38,2590.0,1249.0,775.0,571.0,2025-01-25,2025-03-08,Link clicks,136.0
families_with_children_lookalike__traffic__120216689702520063__cs,to_date_ad,9444.0,23960.0,3102.05,3937.0,2151.0,1370.0,982.0,2025-01-25,2025-03-09,Link clicks,220.0
families_with_children_lookalike__traffic__120216689702520063__en,to_date_ad,7470.0,26007.0,2473.08,2705.0,1300.0,810.0,598.0,2025-01-25,2025-03-09,Link clicks,144.0
