name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
families_with_children_lookalike__traffic__120216689702520063,day_campaign,783.0,1209.0,104.08,156.0,79.0,50.0,44.0,2025-02-06,2025-02-06,Link clicks,5
families_with_children_lookalike__traffic__120216689702520063,day_campaign,837.0,1281.0,124.17,168.0,91.0,47.0,29.0,2025-02-07,2025-02-07,Link clicks,7
families_with_children_lookalike__traffic__120216689702520063,day_campaign,756.0,1125.0,91.48,170.0,99.0,67.0,51.0,2025-02-08,2025-02-08,Link clicks,9
families_with_children_lookalike__traffic__120216689702520063,day_campaign,1030.0,1567.0,138.02,293.0,173.0,126.0,95.0,2025-02-09,2025-02-09,Link clicks,14
families_with_children_lookalike__traffic__120216689702520063,day_campaign,1026.0,1439.0,122.92,249.0,131.0,88.0,66.0,2025-02-10,2025-02-10,Link clicks,11
families_with_children_lookalike__traffic__120216689702520063,day_campaign,2075.0,2579.0,150.12,299.0,140.0,86.0,61.0,2025-02-11,2025-02-11,Link clicks,2
families_with_children_lookalike__traffic__120216689702520063,day_campaign,1231.0,1526.0,104.42,145.0,64.0,35.0,28.0,2025-02-12,2025-02-12,Link clicks,5
families_with_children_lookalike__traffic__120216689702520063,day_campaign,869.0,1512.0,132.93,188.0,103.0,61.0,41.0,2025-02-13,2025-02-13,Link clicks,10
families_with_children_lookalike__traffic__120216689702520063,day_campaign,802.0,1522.0,199.52,186.0,95.0,60.0,47.0,2025-02-14,2025-02-14,Link clicks,14
families_with_children_lookalike__traffic__120216689702520063,day_campaign,677.0,1180.0,108.5,140.0,71.0,55.0,37.0,2025-02-15,2025-02-15,Link clicks,13
families_with_children_lookalike__traffic__120216689702520063,day_campaign,881.0,1565.0,160.39,221.0,128.0,74.0,55.0,2025-02-16,2025-02-16,Link clicks,14
families_with_children_lookalike__traffic__120216689702520063,day_campaign,826.0,1550.0,154.09,175.0,86.0,55.0,43.0,2025-02-17,2025-02-17,Link clicks,16
families_with_children_lookalike__traffic__120216689702520063,day_campaign,790.0,1326.0,117.49,156.0,80.0,40.0,29.0,2025-02-18,2025-02-18,Link clicks,6
families_with_children_lookalike__traffic__120216689702520063,day_campaign,738.0,1184.0,107.51,194.0,101.0,72.0,51.0,2025-02-19,2025-02-19,Link clicks,9
families_with_children_lookalike__traffic__120216689702520063,day_campaign,759.0,1232.0,119.47,181.0,97.0,67.0,47.0,2025-02-20,2025-02-20,Link clicks,13
families_with_children_lookalike__traffic__120216689702520063,day_campaign,852.0,1395.0,162.64,210.0,109.0,65.0,49.0,2025-02-21,2025-02-21,Link clicks,11
families_with_children_lookalike__traffic__120216689702520063,day_campaign,1089.0,2041.0,220.74,288.0,130.0,78.0,47.0,2025-02-22,2025-02-22,Link clicks,10
families_with_children_lookalike__traffic__120216689702520063,day_campaign,1171.0,2252.0,252.34,331.0,174.0,111.0,77.0,2025-02-23,2025-02-23,Link clicks,22
families_with_children_lookalike__traffic__120216689702520063,day_campaign,1113.0,2219.0,270.43,322.0,172.0,101.0,72.0,2025-02-24,2025-02-24,Link clicks,9
families_with_children_lookalike__traffic__120216689702520063,day_campaign,1345.0,2552.0,338.03,327.0,158.0,103.0,77.0,2025-02-25,2025-02-25,Link clicks,22
families_with_children_lookalike__traffic__120216689702520063,day_campaign,997.0,2023.0,251.25,225.0,115.0,81.0,61.0,2025-02-26,2025-02-26,Link clicks,10
families_with_children_lookalike__traffic__120216689702520063,day_campaign,922.0,1773.0,242.59,217.0,109.0,57.0,35.0,2025-02-27,2025-02-27,Link clicks,8
families_with_children_lookalike__traffic__120216689702520063,day_campaign,983.0,1856.0,209.31,227.0,117.0,72.0,51.0,2025-02-28,2025-02-28,Link clicks,9
families_with_children_lookalike__traffic__120216689702520063,day_campaign,1055.0,2011.0,184.16,249.0,131.0,94.0,65.0,2025-03-01,2025-03-01,Link clicks,7
families_with_children_lookalike__traffic__120216689702520063,day_campaign,1230.0,2319.0,268.28,336.0,183.0,118.0,89.0,2025-03-02,2025-03-02,Link clicks,19
families_with_children_lookalike__traffic__120216689702520063,day_campaign,1169.0,2331.0,271.33,302.0,140.0,82.0,59.0,2025-03-03,2025-03-03,Link clicks,21
families_with_children_lookalike__traffic__120216689702520063,day_campaign,1019.0,1934.0,233.25,236.0,121.0,81.0,59.0,2025-03-04,2025-03-04,Link clicks,9
families_with_children_lookalike__traffic__120216689702520063,day_campaign,564.0,879.0,116.95,137.0,75.0,45.0,32.0,2025-03-05,2025-03-05,Link clicks,9
families_with_children_lookalike__traffic__120216689702520063,day_campaign,921.0,2262.0,347.85,213.0,110.0,70.0,50.0,2025-03-06,2025-03-06,Link clicks,19
families_with_children_lookalike__traffic__120216689702520063,day_campaign,1025.0,2332.0,337.75,296.0,154.0,86.0,65.0,2025-03-07,2025-03-07,Link clicks,20
families_with_children_lookalike__traffic__120216689702520063,day_campaign,804.0,1527.0,173.4,181.0,96.0,48.0,34.0,2025-03-08,2025-03-08,Link clicks,18
families_with_children_lookalike__traffic__120216689702520063,day_campaign,983.0,2095.0,249.17,247.0,123.0,86.0,68.0,2025-03-09,2025-03-09,Link clicks,18
