name,type,reach,impressions,spend,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,date_start,date_stop,result_type,results
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,783.0,1209.0,104.08,156.0,79.0,50.0,44.0,2025-01-25,2025-02-06,Link clicks,5.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,1374.0,2490.0,228.25,324.0,170.0,97.0,73.0,2025-01-25,2025-02-07,Link clicks,12.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,1867.0,3615.0,319.73,494.0,269.0,164.0,124.0,2025-01-25,2025-02-08,Link clicks,21.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,2576.0,5182.0,457.75,787.0,442.0,290.0,219.0,2025-01-25,2025-02-09,Link clicks,35.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,3279.0,6621.0,580.67,1036.0,573.0,378.0,285.0,2025-01-25,2025-02-10,Link clicks,46.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,4793.0,9200.0,730.79,1335.0,713.0,464.0,346.0,2025-01-25,2025-02-11,Link clicks,48.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,6045.0,12238.0,968.14,1668.0,880.0,560.0,415.0,2025-01-25,2025-02-13,Link clicks,63.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,6669.0,13760.0,1167.66,1854.0,975.0,620.0,462.0,2025-01-25,2025-02-14,Link clicks,77.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,7085.0,14940.0,1276.16,1994.0,1046.0,675.0,499.0,2025-01-25,2025-02-15,Link clicks,90.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,7605.0,16505.0,1436.55,2215.0,1174.0,749.0,554.0,2025-01-25,2025-02-16,Link clicks,104.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,8099.0,18055.0,1590.64,2390.0,1260.0,804.0,597.0,2025-01-25,2025-02-17,Link clicks,120.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,8492.0,19381.0,1708.13,2546.0,1340.0,844.0,626.0,2025-01-25,2025-02-18,Link clicks,126.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,8914.0,20565.0,1815.64,2740.0,1441.0,916.0,677.0,2025-01-25,2025-02-19,Link clicks,135.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,9292.0,21797.0,1935.11,2921.0,1538.0,983.0,724.0,2025-01-25,2025-02-20,Link clicks,148.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,9834.0,23192.0,2097.75,3131.0,1647.0,1048.0,773.0,2025-01-25,2025-02-21,Link clicks,159.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,10480.0,25233.0,2318.49,3419.0,1777.0,1126.0,820.0,2025-01-25,2025-02-22,Link clicks,169.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,11396.0,27485.0,2570.83,3750.0,1951.0,1237.0,897.0,2025-01-25,2025-02-23,Link clicks,191.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,11916.0,29704.0,2841.26,4072.0,2123.0,1338.0,969.0,2025-01-25,2025-02-24,Link clicks,200.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,12745.0,32256.0,3179.29,4399.0,2281.0,1441.0,1046.0,2025-01-25,2025-02-25,Link clicks,222.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,13205.0,34279.0,3430.54,4624.0,2396.0,1522.0,1107.0,2025-01-25,2025-02-26,Link clicks,232.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,13693.0,36052.0,3673.13,4841.0,2505.0,1579.0,1142.0,2025-01-25,2025-02-27,Link clicks,240.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,14153.0,37908.0,3882.44,5068.0,2622.0,1651.0,1193.0,2025-01-25,2025-02-28,Link clicks,249.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,14649.0,39919.0,4066.6,5317.0,2753.0,1745.0,1258.0,2025-01-25,2025-03-01,Link clicks,256.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,15177.0,42238.0,4334.88,5653.0,2936.0,1863.0,1347.0,2025-01-25,2025-03-02,Link clicks,275.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,15656.0,44569.0,4606.21,5955.0,3076.0,1945.0,1406.0,2025-01-25,2025-03-03,Link clicks,296.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,16139.0,46503.0,4839.46,6191.0,3197.0,2026.0,1465.0,2025-01-25,2025-03-04,Link clicks,305.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,16463.0,47382.0,4956.41,6328.0,3272.0,2071.0,1497.0,2025-01-25,2025-03-05,Link clicks,314.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,16975.0,49644.0,5304.26,6541.0,3382.0,2141.0,1547.0,2025-01-25,2025-03-06,Link clicks,333.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,17444.0,51976.0,5642.01,6837.0,3536.0,2227.0,1612.0,2025-01-25,2025-03-07,Link clicks,353.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,17788.0,53503.0,5815.41,7018.0,3632.0,2275.0,1646.0,2025-01-25,2025-03-08,Link clicks,371.0
families_with_children_lookalike__traffic__120216689702520063,to_date_campaign,18156.0,55598.0,6064.58,7265.0,3755.0,2361.0,1714.0,2025-01-25,2025-03-09,Link clicks,389.0
