date	year	week	code	type	value
2023-12-01	2023	48	/	Active users	13
2023-12-01	2023	48	/	Average engagement time per session	63
2023-12-01	2023	48	/	New users	11
2023-12-01	2023	48	/	Sessions	15
2023-12-01	2023	48	/de	Active users	1
2023-12-01	2023	48	/de	Average engagement time per session	0
2023-12-01	2023	48	/de	New users	1
2023-12-01	2023	48	/de	Sessions	1
2023-12-01	2023	48	/objednavka	Active users	1
2023-12-01	2023	48	/objednavka	Average engagement time per session	223
2023-12-01	2023	48	/objednavka	New users	0
2023-12-01	2023	48	/objednavka	Sessions	4
2023-12-01	2023	48	/pl/objednavka	Active users	0
2023-12-01	2023	48	/pl/objednavka	Average engagement time per session	0
2023-12-01	2023	48	/pl/objednavka	New users	0
2023-12-01	2023	48	/pl/objednavka	Sessions	1
2023-12-02	2023	48	/	Active users	19
2023-12-02	2023	48	/	Average engagement time per session	245
2023-12-02	2023	48	/	New users	19
2023-12-02	2023	48	/	Sessions	19
2023-12-02	2023	48	/de	Active users	4
2023-12-02	2023	48	/de	Average engagement time per session	70
2023-12-02	2023	48	/de	New users	4
2023-12-02	2023	48	/de	Sessions	5
2023-12-02	2023	48	/en	Active users	1
2023-12-02	2023	48	/en	Average engagement time per session	0
2023-12-02	2023	48	/en	New users	1
2023-12-02	2023	48	/en	Sessions	1
2023-12-02	2023	48	/objednavka	Active users	1
2023-12-02	2023	48	/objednavka	Average engagement time per session	0
2023-12-02	2023	48	/objednavka	New users	1
2023-12-02	2023	48	/objednavka	Sessions	1
2023-12-02	2023	48	/pl	Active users	1
2023-12-02	2023	48	/pl	Average engagement time per session	12
2023-12-02	2023	48	/pl	New users	0
2023-12-02	2023	48	/pl	Sessions	1
2023-12-03	2023	48	/	Active users	22
2023-12-03	2023	48	/	Average engagement time per session	226
2023-12-03	2023	48	/	New users	22
2023-12-03	2023	48	/	Sessions	23
2023-12-03	2023	48	/de	Active users	1
2023-12-03	2023	48	/de	Average engagement time per session	1317
2023-12-03	2023	48	/de	New users	1
2023-12-03	2023	48	/de	Sessions	1
2023-12-03	2023	48	/de/objednavka	Active users	1
2023-12-03	2023	48	/de/objednavka	Average engagement time per session	713
2023-12-03	2023	48	/de/objednavka	New users	0
2023-12-03	2023	48	/de/objednavka	Sessions	2
2023-12-03	2023	48	/en	Active users	3
2023-12-03	2023	48	/en	Average engagement time per session	19
2023-12-03	2023	48	/en	New users	2
2023-12-03	2023	48	/en	Sessions	3
2023-12-03	2023	48	/objednavka	Active users	0
2023-12-03	2023	48	/objednavka	Average engagement time per session	0
2023-12-03	2023	48	/objednavka	New users	0
2023-12-03	2023	48	/objednavka	Sessions	1
2023-12-03	2023	48	/pl/objednavka	Active users	0
2023-12-03	2023	48	/pl/objednavka	Average engagement time per session	0
2023-12-03	2023	48	/pl/objednavka	New users	0
2023-12-03	2023	48	/pl/objednavka	Sessions	1
2023-12-04	2023	49	/	Active users	18
2023-12-04	2023	49	/	Average engagement time per session	240
2023-12-04	2023	49	/	New users	15
2023-12-04	2023	49	/	Sessions	18
2023-12-04	2023	49	/de	Active users	3
2023-12-04	2023	49	/de	Average engagement time per session	156
2023-12-04	2023	49	/de	New users	2
2023-12-04	2023	49	/de	Sessions	4
2023-12-04	2023	49	/en	Active users	1
2023-12-04	2023	49	/en	Average engagement time per session	871
2023-12-04	2023	49	/en	New users	1
2023-12-04	2023	49	/en	Sessions	1
2023-12-04	2023	49	/objednavka	Active users	1
2023-12-04	2023	49	/objednavka	Average engagement time per session	3
2023-12-04	2023	49	/objednavka	New users	0
2023-12-04	2023	49	/objednavka	Sessions	2
2023-12-04	2023	49	/pl	Active users	1
2023-12-04	2023	49	/pl	Average engagement time per session	16
2023-12-04	2023	49	/pl	New users	1
2023-12-04	2023	49	/pl	Sessions	1
2023-12-04	2023	49	/pl/objednavka	Active users	0
2023-12-04	2023	49	/pl/objednavka	Average engagement time per session	0
2023-12-04	2023	49	/pl/objednavka	New users	0
2023-12-04	2023	49	/pl/objednavka	Sessions	3
2023-12-05	2023	49	/	Active users	19
2023-12-05	2023	49	/	Average engagement time per session	280
2023-12-05	2023	49	/	New users	18
2023-12-05	2023	49	/	Sessions	19
2023-12-05	2023	49	/pl/objednavka	Active users	0
2023-12-05	2023	49	/pl/objednavka	Average engagement time per session	0
2023-12-05	2023	49	/pl/objednavka	New users	0
2023-12-05	2023	49	/pl/objednavka	Sessions	1
2023-12-06	2023	49	/	Active users	11
2023-12-06	2023	49	/	Average engagement time per session	536
2023-12-06	2023	49	/	New users	9
2023-12-06	2023	49	/	Sessions	11
2023-12-06	2023	49	/de	Active users	1
2023-12-06	2023	49	/de	Average engagement time per session	172
2023-12-06	2023	49	/de	New users	1
2023-12-06	2023	49	/de	Sessions	1
2023-12-06	2023	49	/objednavka	Active users	1
2023-12-06	2023	49	/objednavka	Average engagement time per session	161
2023-12-06	2023	49	/objednavka	New users	0
2023-12-06	2023	49	/objednavka	Sessions	2
2023-12-07	2023	49	/	Active users	13
2023-12-07	2023	49	/	Average engagement time per session	225
